number,tweet (actual tweet text will defer. Open txt file instead),polarity
253,b'From Which Country R U?\n\nRetweet If U See Your Flag\n\nIndia \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\nNigeria \xf0\x9f\x87\xb3\xf0\x9f\x87\xac\nGhana \xf0\x9f\x87\xac\xf0\x9f\x87\xad\nUganda \xf0\x9f\x87\xba\xf0\x9f\x87\xac\nZimbabwe \xf0\x9f\x87\xbf\xf0\x9f\x87\xbc\nTanzania \xf0\x9f\x87\xb9\xf0\x9f\x87\xbf\nBrazil \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\nKenya \xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\nPakistan \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0\nCanada \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\nAustralia \xf0\x9f\x87\xa6\xf0\x9f\x87\xba\nUSA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nSomalia \xf0\x9f\x87\xb8\xf0\x9f\x87\xb4\nSouth Africa \xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\nPhilippines \xf0\x9f\x87\xb5\xf0\x9f\x87\xad\nUAE \xf0\x9f\x87\xa6\xf0\x9f\x87\xaa\nEngland \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf\nItaly \xf0\x9f\x87\xae\xf0\x9f\x87\xb9\nThailand \xf0\x9f\x87\xb9\xf0\x9f\x87\xad\nFrance \xf0\x9f\x87\xab\xf0\x9f\x87\xb7\nArgentina \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7',positive
254,"b'Published on https://t.co/mRLw4kzIxB : 37 millions bees found dead in Ontario, Canada after planting large GMO corn field treated with neonicotinoid class of pesticides  #honeybees #neonicotinoids #pesticides    https://t.co/DKubm9VDFM  GMOs are indirectly causing the col\xe2\x80\xa6 https://t.co/jhgG78c6pU'",negative
255,"b'@dgboweniii @WalshFreedom My wife has relatives in Canada, I\xe2\x80\x99ve spoken to them on the health care issue. They all love the fact that there is very little or no out of pocket expense, but the wait &amp; bureaucracy can be maddening.'",positive
256,b'Mexican beef producer finds top genetics in Canada - Canadian Cattlemen https://t.co/cLoWDeGovZ',positive
257,"b'@emarceg @ezbmurphy @TorontoStar And when was the last time you lived in the Canadian wilderness? You\xe2\x80\x99re asking for laws that effect all Canadians, but you\xe2\x80\x99ve never actually lived all across Canada to see what it\xe2\x80\x99s like. (Yes, I lived in Toronto. Dixon/Martin Grove 11 years)'",positive
258,"b""We're hiring! @ImagineCanada's Standards Program is looking for a Manager, Accreditation. If you're passionate about supporting organizational excellence in Canada's charitable sector, this is the opportunity for you! Apply today: https://t.co/c16S6ePY4t https://t.co/7jvfv0C6tR""",positive
259,"b'@CNN @Safety_Canada what r u guys waiting for , till ur ppl die in one right , ok let\xe2\x80\x99s wait ...'",negative
260,b'Why is Canada not banning the use of #BOEING737MAX8 until a further investigation is done? \n\nThis country needs to stop waiting until Americans make a decision to make their own.',positive
261,b'@lady_ornge I was thinking of giving you my original pen I can always make me another one I heard your moving to Canada and I figured I can give you something to go away with that\xe2\x80\x99s up to you',positive
262,"b'https://t.co/5fQCAq3TnE\nIs the US watching Canada? Use cash to buy #Cannabis if you\xe2\x80\x99re worried about #Privacy, watchdog says https://t.co/392nUlkcyd'",positive
263,b'@manny_ottawa @realDonaldTrump While the #USA continues their Nationalist and Incest Support for their Traitor President.\n\n#MAGAts Repeat After Me............\n\nIncest is a Trump Family Value.\n\nCanada is a National Security Threat. https://t.co/SfAhHzwHEm',negative
264,"b""Alaskans own 212,602 shares of CENTERRA GOLD INC, worth $1,219,514. It's from the METALS MINING &amp; FABRICATING sector, based in CANADA.""",positive
265,"b'#CSW63 This year\xe2\x80\x99s Canadian \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6delegation will work collaboratively with the Minister to address the priority theme: Social protection systems, access to public services &amp; sustainable infrastructure for #genderequality &amp; empowerment of women and girls. https://t.co/3GRctz6Fsp https://t.co/CAnTbkETAB'",positive
266,b'Ontario plans to ban cellphones in the classroom: https://t.co/8QEdXo4a3f\n\nWhat do you think of cellphones in class? #OnPoli #OttNews #Ottawa',positive
267,"b'My special needs kids called dumb stuff ""monkeys on the keyboards"" - works. https://t.co/RrArJv7UIf'",negative
268,b'@PnPCBC @BillTufts @theJagmeetSingh The way to address the unique nature is sell it for a dollar &amp; lets use the billions of transfer payments going to Quebec to support the rest of Canada',positive
269,"b'@JewishConnectiv @ZeroWarningShot @DiCam3667Trump @realDonaldTrump Dude - you\xe2\x80\x99re coming on here looking for support for anti-Semitism from the President and your method is to criticize his party, that is doing everything it can for your people? Do you have any idea how asinine that is? You won\xe2\x80\x99t even condemn DNC anti semitism yourself.  GROW UP!'",positive
270,"b""'Oh, my God, something bit me': Scorpion stings student on Toronto to Calgary flight\nhttps://t.co/kBlZmOCCj4 https://t.co/ii1zfzNuLX""",positive
271,b'@JustinTrudeau why is Canada not grounding these murderous BOEING 737 MAX 8 planes? Every country is doing it and you\xe2\x80\x99re going to align wit the USA on this? #BOEING737MAX8 #DeathTrap #PlaneCrash',positive
272,"b'Credit Manager: East Coast Credit Union Limited (Antigonish NS): ""Coast Credit Union is seeking a Credit Manager to join our progressive and high. performing team! This permanent position is well suited..."" #AtlanticCanada #NovaScotia eluta https://t.co/jnM9uH7qvZ'",positive
273,b'Breathtaking Hiking Trails to Go Backpacking in Canada --&gt; https://t.co/xgOK78F8sB  - #Canada #Travel #Adventure #Hiking https://t.co/5EeBE9C2T3',positive
274,b'After losing to Russia 5-1 in a semi final game yesterday at the university games in Russia Canada has beaten Kazakhstan 3-0 to bring home the bronze medal! Congrats @gmcfadden27',positive
275,b'A Tiny Country That Once Existed For Three Years Between U.S. and Canada Due to Border Disputes https://t.co/nXggvrEUb0 https://t.co/pesCpTLKlC',neutral
276,b'A Tiny Country That Once Existed For Three Years Between U.S. and Canada Due to Border Disputes https://t.co/nXggvrEUb0 https://t.co/pesCpTLKlC',neutral
277,b'What America does that Canada doesn\xe2\x80\x99t  \n\nhttps://t.co/nIGWnzUunF https://t.co/ZMfNwI3PL0',neutral
278,b'#Tuesday #Shoutout to Bulk Handling Systems who will be exhibiting in booth 1934 at the Waste &amp; Recycling / Municipal Equipment Expo in Toronto this October - https://t.co/OVa7QLCq5B - @BHS_Equip #CWRE2019 #waste #recycling #municipal #publicworks #environment https://t.co/wIDrGiHqf2',negative
279,"b'SG\xcc\xb1ang Gwaay Llnaagay, in the southernmost part of Gwaii Haanas, is a UNESCO World Heritage site &amp; a National Historic site of Canada. It commemorates the living culture of the Haida people, their oral traditions, &amp; their relationship to the land &amp; sea.\n\n\xf0\x9f\x93\xb7: @ParksCanada https://t.co/J80BH09yFu'",positive
280,"b'LOL missed this in the first read  ""Canada\'s poster boy""'",positive
281,b'@CNN Canada next?',neutral
282,"b'WIN A WEEKEND PASS TO CAN-AM EQUINE EXPO!\nIn partnership with @CanAmEquine there are two chances to win a Weekend Pass! Can-Am Equine Expo is Eastern Canada\xe2\x80\x99s premier equine event. Contest ends March 15, 2019. Visit https://t.co/mfBzcRkBkV for details. https://t.co/Lnra7dPvKO'",positive
283,b'@NewHopeGeorge when are you going back to canada?',negative
284,"b'@manny_ottawa @CNBC It took only 10 years for Venezuela to go from oil-rich to poverty.  Please Canada, save yourselves.'",positive
285,"b'phnom penh taxi driver , Cambodia trip  #viaje #viajero #turismo  #tripadvisor #tourism #Voyage #Cambodge #perjalanan #Reise #\xec\x97\xac\xed\x96\x89 #\xec\xba\x84\xeb\xb3\xb4\xeb\x94\x94\xec\x95\x84  #\xe6\x9f\xac\xe5\x9f\x94\xe5\xaf\xa8 #\xe6\x97\x85\xe8\xa1\x8c #travel #Taiwan #singapore #Malaysia #australia #spain #German  #french #Canada #England #asian #Travelers https://t.co/OXqLYMl53o'",positive
286,b'@gurvinder_gur @akshaykumar @aapkadharam @iamsunnydeol @filmfare @KapilSharmaK9 @BeingSalmanKhan @RanveerOfficial @ToiletTheFilm @anandkrshahi @jazzyb @diljitdosanjh @igippygrewal @Canada @USATODAY @News18India @CanadianForces @arrahman @AnjaniKrPandey7 @Harmitsingh1977 @mrsfunnybones @TheShilpaShetty @thedeol @SrBachchan supee movie',neutral
287,b'Via @businessinsider Why Canada Goose Jackets Are So Expensive | So Expensive https://t.co/O8D5FsjTKf #video #marketing #startup',negative
288,b'Congrats to Travis Martin.\nTravis is the WINNER of the #MyGenuineYamaha contest and received a $100.00 Yamabucks from Yamaha Motor Canada.\n\n#FanFriday #MyGenuineYamaha #CamsoTracks #FrontBrushGuard #CargoBox #ThePerfectFit #Grizzly... https://t.co/lgCG0R8Y7n',positive
289,b'#Tuesday #Shoutout to Bulk Handling Systems who will be exhibiting in booth 1934 at the Waste &amp; Recycling / Municipal Equipment Expo in Toronto this October - https://t.co/EW9WFHkjZG - @BHS_Equip #CWRE2019 #waste #recycling #municipal #publicworks #environment https://t.co/F3liFl97wF',negative
290,"b'#Carbon Management Canada CEO, Sandra Odendahl joins our #Toronto panel: driving investment toward #climate solutions @Sandra_Odendahl @CMCghg @CoPowerInc @CleanEnergyCan @ExportDevCanada#events #sustainability #susty #finance #ecoconscious #LikeACanadian https://t.co/Fg4JiY03C1 https://t.co/XOVo3EEzYj'",positive
291,b'Merchants worry Ontario St. overhaul will be tough on business https://t.co/80eDjPTl5E',negative
292,b'@BonnieCrombie I actually have a friend from Mauritius. My Canada \xf0\x9f\x92\x9e',positive
293,b'@dougmccomber @Canada_Gun_Club Not every person who owns a gun is a CRIMINAL! It is a way to disarm all Canadians. Many people have guns for hunting as their way of life!',negative
294,"b'@djbip1986 ...that it is some form of public ""shot across the bow"" to indicate that they will not accept the (clear and certain) corruption that [NB: has not yet] occurred is a real stretch. Is it for Canada and said fraternity\'s consumption, or for all member countries?'",negative
295,"b'ENHANCEMENT YODI PILLS/ APETAMIN CREAM +27734736385 FOR CURVY HIPS/ BUMS/ BREAST ENLARGEMENT &amp; REDUCTION IN BOTSWANA, SOUTH AFRICA, MALAYSIA, DUBAI, PHILIPPINES, CANADA, SPAIN, GERMAN, NEWYORK, UGANDA-KAMPALA https://t.co/1GZBUWKQc6'",positive
296,b'@SHINee Bruh come to Canada https://t.co/DuY7ZDrzIV',positive
297,"b'Are you ready in case of an emergency like a flood, major storm, or evacuation? Find out! Take our quiz #NovaScotia! https://t.co/eClgRVK9Fp\n\nhttps://t.co/YsbNq9Mt9o https://t.co/kAXVKFJCgN'",positive
298,"b'@HonAhmedHussen $900,000 given to ""Muslim"" women -women in Iran are abused, jailed, and even killed for NOT wanting to cover and here we have these women in Canada promoting covering-there is no solidarity in your ideology with your own sisters how sad is that!'",negative
299,"b'I have 23 new followers from Canada, USA, and more last week. See https://t.co/pkbdgY4gwk https://t.co/SRYo33v5L1'",positive
300,"b""Britain, Canada, USA, France, Italy (of course), you name it, when career politicians are in place, so is corruption. President Trump is the ONLY non career politician on the planet that I know of, that's why he's so unpopular with the ruling classes, &amp; their pets, the media. https://t.co/CTxDNAy6Rl""",negative
301,b'@reicurran He is a serious threat to the Canada I grew up in. He needs to be removed in Oct.',negative
302,b'@DominicLimmm UK just suspended the 737MAX fleet from flying into/out of UK airspace &amp; Norwegian Air just grounded their whole fleet... Boeing taking a colossal hit. Will US &amp; Canada finally follow suit?',positive
303,"b'CBC\'s long read on British Home Children. My great grandmother came to NS in 1909. We believe she was in a workhouse before that, only to be shipped to Canada where she would attempt to run away from her ""family"" they placed her with. https://t.co/TpmelWmWUZ'",positive
304,"b'During March and April, residents with low to modest incomes are supported to have their taxes completed for free by dedicated volunteers. This program is run in partnership with Stony Plain FCSS &amp; the Canada Revenue Agency. To see if you are eligible please call 780-963-8583. https://t.co/EM930MUx4G'",positive
305,"b""@alissa914 @BillSpadea @CoryBooker I try to ask as few questions as possible, as far as legal this, legal that. \nI claim nothing at Border crossing either. \nI'd rather do it and ask forgiveness, than ask and be denied.\nI did think of a hack for any legal issues buying in Canada though! (next tweet)""",positive
306,"b'Majority of teachers in Canada are Gurus and not ""wh...."" but people often see others as they are...so we cant change people\'s outlook unless they they feel good about themselves :) #OmNamahShivaye \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'",positive
307,b'@taiwo__y We won\xe2\x80\x99t rest again now coz you live in Canada \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',positive
308,"b""@rahaf84427714 Happy birthday Rahaf, it is ur reborn in Canada where humanity comes first.. yes you rightly said greatest people on the earth live here in Canada &amp; again \n\nDon't let anyone break ur wings, you're  free, fight and get ur right back. @rahaf84427714 https://t.co/8El3oe6LDT""",positive
309,"b'Dr. Deepali Dewan, Curator, @ROMtoronto, will lead a tour of Vision Exchange: Perspectives from India to Canada on March 20, with a focus on the work included in the exhibition by artist Divya Mehra. Free!  @UofT \nhttps://t.co/5usyZUja6m https://t.co/sG9IR50TQ5'",positive
310,b'A fact-checking news agency prints a fictional story about Trudeau\xe2\x80\x99s SNC-Lavalin scandal  https://t.co/OvrIBFvUBf',positive
311,b'Did you know March is also Childhood Arthritis Awareness Month?\nThe CBC covered a story on two sisters a few years ago that explained the challenges of childhood arthritis really well! \nhttps://t.co/8LY5Sz7EJa \n#arthritis #fight #bestrong https://t.co/8LY5Sz7EJa',positive
312,"b""@ahernemj @davecournoyer @RyanHastman @R_Boissonnault Agreed - they do a great job. They remind me of the Canada AM panel from the late 90's where panelists actually discussed politics in a respectful way and were able to laugh at themselves. Not much of that around these days.""",positive
313,"b""We're #hiring! We are looking for a #PhD #Researcher to work on the @Right_Mesh project.\n\nIf you're interested in helping connect Canada's remote regions, and working with cutting edge technology, apply below! #DigitalDivide @UofG\n\nhttps://t.co/Ak1RkqPW6s https://t.co/ppnYBagoT1""",positive
314,"b'elderly, people with cancer, etc are all able to seek treatment without their entire families being sunk into debt.\nIf only other first world countries like Canada, France, Italy, Germany, Switzerland, Japan, Greenland, Iceland, Ireland, Korea, and the like had some sort of guide'",positive
315,"b'Part Time Pharmacist in Welland, ON, Canada: pharmacist, injection, pharmacy https://t.co/StikUSzrQC'",positive
316,"b'Part Time Pharmacist in Welland, ON, Canada: pharmacist, injection, pharmacy https://t.co/StikUSzrQC'",positive
317,"b'@Ian_M_K @yangster2020 @robreiner @JoeyGDNBoss @AndrewYangVFA Why is a BOT from Canada telling me what to do? I DO vote 4 policies! I like the ones Democrats propose &amp; try to live by. Dems place humanity above $$$$ most of the time. We need balance, but right now we need to swing left before we get to balance again.We need to impeach Trump.'",positive
318,b'@awkwafina Both are the same. Empowerment is personal! When you visit Canada- we have stores you can just walk into and purchase whatever cannabis u desire.',positive
319,b'@tedlieu @CaliforniaPTA @anitapta See @canada British Columbia gov plans that are currently in action for their version of a #GreenNewDeal \n\nLives can be saved. \nHealth can be bettered.\nVehicles can be made smarter.\n\nhttps://t.co/ApXr2WASRR https://t.co/zYLpp7lucT',positive
320,b'Former Conservative candidate charged with campaign theft from 2015 election https://t.co/lsCGvUvbal #cdnpoli',negative
321,"b'@realDonaldTrump @foxandfriends Patrick Moore is NOT a co-founder of Greepeace. He was President of Greenpeace IN CANADA until he left disenchanted. He founded GreenSpirit, a PR firm. He is not a scientist, he is a spinner of facts to suit his clients. He is an administrator for sale. Ignore (or fight) him.'",negative
322,b'Honestly just pissed off that Jenna\xe2\x80\x99s in Edinburgh and Callum\xe2\x80\x99s going to Canada \xf0\x9f\xa5\xba',negative
323,"b'Council Discusses Indigenous Ministries - Discussion of Indigenous ministries in the U.S. and Canada came up in several conversations and reports at the recent meeting of the Christian Reformed Church\xe2\x80\x99s Council of Delegates in Grand Rapids, Mich. https://t.co/ayPIJxXAfY https://t.co/NIkijXoGrJ'",positive
324,b'Did you know March is also Childhood Arthritis Awareness Month?\nThe CBC covered a story on two sisters a few years ago that explained the challenges of childhood arthritis really well! \nhttps://t.co/J0Y4R9O2X5 \n#arthritis #fight #bestrong',positive
325,b'Interested in launching a music therapy business but even thinking about starting is extremely daunting?  Contact Mackenzie for practical #applications and #strategies that focus\xe2\x80\x99 your #dream and #vision. #CostronCoaching #musictherapy #business #entrepreneur #Canada https://t.co/MZdMJcaBNp',positive
326,b'No carbon tax!!\nhttps://t.co/j5JdlnLUPP',neutral
327,b'Let\xe2\x80\x99s do a switcharoo Canada! All our white ppl for all yours \xf0\x9f\xa4\x9d',positive
328,"b""The injustice of Canada's Missing &amp; Murdered Indigenous Women falls on all of our shoulders.  Hear @TessaWhitecloud from @UWinnipeg Sociology speak on this issue tomorrow at 12:10 in the Carol Shields Auditorium. https://t.co/lungWxYolw""",negative
329,b'Only ONE WEEK left to vote #JFCbulow for #JUNOFanChoice Presented by @TD_Canada. Retweet to vote now! https://t.co/7IaGn5sCOF https://t.co/SEq9IlCtVW',positive
330,"b""Over 40% of world's 737 Max 8s now grounded after deadly Ethiopian Airlines crash, Canada's Westjet and Air Canada continue to use them | CBC News https://t.co/OHwhyK73ws @cbchomestretch #cdnpoli""",negative
331,"b'Both are wrong...from a professional viewpoint\n\nInterviewee: Do not comment on her person. Focus on job &amp; Interview. In Canada, that\xe2\x80\x99s actually a form of sexual harassment. Nigerians may not know this.\n\nInterviewer: It rude to call him rude. Unprofessional and unbecoming. https://t.co/2PPLjrRVaP'",negative
332,"b'2019 #GartnerSYM Toronto, #Canada agenda released! View the just released agenda and see how it fits your current challenges and key initiatives: https://t.co/YV2Id5FrBZ'",positive
333,b'Health Canada Sets New Guideline for Lead in Drinking Water #Clearwater #environment https://t.co/DKS22wH1Wm via @CanadianWater',positive
334,b'New post: Canada\xe2\x80\x99s Amateur Radio Population Showing Continued Growth https://t.co/XxzG2L1MTc #hamr #hamradio',negative
335,b'TFW you realize Canada used to be BASED! https://t.co/NbnUOXlRlh',positive
336,"b'MOXY provides Canadians with a connection from Canada to global research and education networks and their connected institutions, research facilities, researchers and collaborators. https://t.co/TyTylicJJX https://t.co/VdeF99SRCx'",positive
337,"b""@kagura_shinomas Why is this not out in Canada \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad I've been wanting to play it for so long please make a Canadian version""",positive
338,"b'There is a group of Canadians who have been studying how to unlock an  enormous national resource, the open spaces of rural Canada...   https://t.co/QVMbZxtO0z'",positive
339,"b'PayPal and sofi users only... \n50,000$ to be shared between first 50 people to RT and DM, no nudes or naughty chat. #sugarbabyneeded #sugarbaby #Sudy #sugardaddy #findom #paypig #gay #collegegirls #Paypal #USA #richgirls #money #cashback #cashforsteps #Canada #TuesdayMotivation'",positive
340,"b'Hard Money Lenders in Canada hard money, lending, private money Provided by Real Estate Investing Community... https://t.co/IFeqIn9or6 https://t.co/PSL1MqzoGP'",positive
341,"b'Hard Money Lenders in Canada hard money, lending, private money Provided by Real Estate Investing Community... https://t.co/YmYk6jJQVj https://t.co/VZ0GxpYKye'",positive
342,b'1. GUNTER: Oil outlook for Canada is bleak | Edmonton Sun #medhat #ucp  https://t.co/Sc7IUfKekC',negative
343,"b""I did all I could find. Found a couple here in Cali, New Jersey, Canada. And just searches on Twitter Hindi radio. It's easy. Ppl do this for #KyunRabba and #KyunRabbaReprise. In minutes you hit so many stations geographically. https://t.co/8iBR2lprnX""",positive
344,"b""British Columbia may soon introduce unpaid sick days as part of a slew of proposed changes to the province's Employment Standards Act.  https://t.co/Z5fmGPHwVo""",negative
345,b'canada has the world\xe2\x80\x99s freshest water but okay https://t.co/iBp5aDcEPt',positive
346,"b'Resources for Women Entrepreneurs highlights support organizations where #StartupWomen can access tools to grow and much more. In partnership with @bdc_ca, women entrepreneurs are invited to grow their businesses today at https://t.co/3shVcl7Lga! #StartupWomen #IWD2019 https://t.co/TxjMTmEB4D'",positive
347,b'@NewHopeGeorge will u ever come to canada?',positive
348,"b'In Canada, we vote by marking X\xe2\x80\x99s on pieces of paper. It\xe2\x80\x99s very reliable. The sanctity of elections are worth the cost.'",positive
349,"b'Find out what the Government of Canada is doing to strengthen border security, including support for front-end security screening and removals of asylum seekers: https://t.co/Ud9GrDXe1j #cdnref https://t.co/qAgwknXKdv'",positive
350,b'Dec US Imports of Cdn crude by PADD (bbl/day):\n\xe2\x80\xa2 PADD 1: 170k -70k\n\xe2\x80\xa2 PADD 2: 2.53M +20k\n\xe2\x80\xa2 PADD 3: 490k -70k\n\xe2\x80\xa2 PADD 4: 280k -40k\n\xe2\x80\xa2 PADD 5: 220k +30k\nTotal: 3.69M -130k (m/m)\nData from the @EIAgov:\nhttps://t.co/248uJPeYdi https://t.co/A1ijqTWZzU',neutral
351,"b""Wiped out: America's love of luxury toilet paper is destroying Canadian forests | World news | The Guardian https://t.co/ZSvJ3QQiyA""",positive
352,"b""@MarvinMartian0 @greenpeaceusa @realDonaldTrump @foxandfriends @AOC He apparently joined a year after the founding, and after a stint in the 70's as President of the Canada chapter sold out and became an extraction lobbyist. If Trump has to call back to someone who was last involved when Carter was President that's a weak argument.""",negative
353,b'#Canada named healthiest country in the \xf0\x9f\x8c\x8f\xf0\x9f\xa5\x87\n#GlobalWellnessIndex sorted 151 countries focusing on 10 key metrics as:\n\xf0\x9f\x94\xb9Health\n\xf0\x9f\x94\xb9Happiness\n\xf0\x9f\x94\xb9Success\n\n@WHO @UN @HappinessRpt\n\xe2\x9c\x85Index https://t.co/CzO88EnJo3\n\xe2\x9c\x85Report https://t.co/un3p7oYQ7Y\n\xe2\x9c\x85Article https://t.co/09qzWBJQdR https://t.co/YcVB6y9wyy',positive
354,"b""@realDonaldTrump @foxandfriends Patrick Moore was once President of Greenpeace Canada, not a founder. He is also a climate change denier and does not base his assumptions on science. You are correct about one thing though, there is weather and climate all over the world.  Congrat's bruh.""",positive
355,"b""@realDonaldTrump @foxandfriends Patrick Moore was once President of Greenpeace Canada, not a founder. He is also a climate change denier and does not base his assumptions on science. You are correct about one thing though, there is weather and climate all over the world.  Congrat's bruh.""",positive
356,b'@CarlSvanberg I think just in Canada.',positive
357,b'@TheTorontoSun @brianlilley It was just over a week ago that Statistics Canada reported horrible economic growth numbers.',negative
358,"b'#Digestivetopic: #CF is #genetic #disease that affects approximately 33,500 children and adults in the #US and #Canada'",negative
359,"b'@Bossy_AF So the rules for Canada, maybe the same as US'",neutral
360,b'Plan to attend #CANECT19 with us\xe2\x80\x93 Canada\xe2\x80\x99s leading #environmental due diligence and compliance training event https://t.co/vzevEQ5O3R',positive
361,b'@CBCAlerts @CBCNews #Canada Transportation Minister #marcgarneau .....maybe the lack of oxygen from his space travel days as an astronaut are clouding his common sense! WAKE UP MARC! GROUND THE DAMN PLANES! #boeing #Boeing737Max #onpoli',positive
362,"b'Where should you #FindYourPersona?\n\nRead the quoted thread for more details. Take note that for those within USA, Canada, and Puerto Rico, you must use only the official links to be provided by Big Hit for Billboard, Gaon, and Hanteo.\n\nRead: https://t.co/SLGqQJETH7\n\n#BTS @BTS_twt'",positive
363,"b'New from Business Insider, Why Canada Goose Jackets Are So Expensive | So Expensive https://t.co/uSpfgaECXx'",negative
364,"b'Happy Birthday Beomgyu! \xf0\x9f\x8c\xb0\nSending Big Love, Hugs and Happiness from Canada! \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\nXOXOX \xf0\x9f\x92\x95 \xf0\x9f\x98\x81\n#HAPPYBEOMGYUDAY\n#ChestnutBeomgyu https://t.co/21YeHPev0g'",positive
365,b'#DYK that migrating Scots played an integral part in the development of Canada as well as the U.S.? https://t.co/yr0ozHYI45\n*\n*\n#ScottishHistory #CanadianHistory #Canada #Scotland #Pioneers #Frontier https://t.co/v33gLxByzJ',negative
366,"b""If you missed today's show, you can catch #LFS5 on your favorite podcast platform! Today Lui Greco from the CNIB told us about a Transport Canada study about how to train self-driving cars to share the roads with blind pedestrians. https://t.co/938i0eLvLN https://t.co/W7aOfOadcg""",positive
367,b'Canada Revenue Agency\xe2\x80\x99s Crypto Audit Raises Some Hackles https://t.co/bfzBYGM69q\n#bitcoin #blockchain #tax #crypto',positive
368,"b""@nordickjay @chicago_canada @softgrasswalker ... thanks for posting the old doomsday prediction Mr Brent McKenzie and pointing out the date - green folks wrong again. Carbon tax to combat global warming my a$$! The average worker just feels the pain of the tax to survive and doesn't realize the lies behind the Paris Accord.""",negative
369,b'Big Brother Canada 7 | March 12 | Tuesday Morning Update Podcast https://t.co/iob1CWNEGM',positive
370,b'@cmckenney @Good_Companions @doolittle_romas Growing old in Canada and in most western countries is a nightmare. No compassion and support for seniors who pretty much built those countries. It speaks volume about our civilization...',positive
371,b'660NEWSTraffic Of course in Canada we\xe2\x80\x99ll wait until everyone is doing it before we do.... Also ask WestJet about flight ws117 last Thursday out of #YYC and why it took 2 hours to get the #737MAX8 off the ground.2019-03-12T13:42:18.000Z',positive
372,"b'Islamphobia, am I reasonable to feel and tell?\nM103 in Canada \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 is fatal. https://t.co/pBwXn4ZQsU'",positive
373,"b'ICYMI: Why you should consider the CMC Certification when hiring management consultants, via @dwightmihalicz: https://t.co/6N2hxFNKoZ #leadership'",positive
374,b'#Canada named healthiest country in the \xf0\x9f\x8c\x8f\xf0\x9f\xa5\x87\n#GlobalWellnessIndex sorted 151 countries focusing on 10 key metrics as:\n\xf0\x9f\x94\xb9Health\n\xf0\x9f\x94\xb9Happiness\n\xf0\x9f\x94\xb9Success\n\n@WHO @UN @HappinessRpt\n\xe2\x9c\x85Index https://t.co/ViNhO1RViX\n\xe2\x9c\x85Report https://t.co/b12a6qEqNx\n\xe2\x9c\x85Article https://t.co/MxI7FKBMai https://t.co/et9PIuv59G',positive
375,"b'@7WP Hi Roberto! A&amp;W Canada is a Canadian company with no ties to A&amp;W restaurants outside of Canada. Independent management, and a unique menu.'",positive
376,"b""It's National Tick Awareness month and https://t.co/2Dbpf5QKGk is an educational website offering pet owners information about and potential hazards ticks pose for you and your pets! \xf0\x9f\x95\xb7 #TickAwareness #Canada https://t.co/fotmQCmBKO""",positive
377,b'The Canada Revenue Agency and Community Volunteer Income Tax Program (CVITP) are partnering to offer free tax preparation for those with modest income &amp; simple tax situation. For more details: https://t.co/5Fa1TIv6Xf #ottcity https://t.co/UKhOGtN8Xv',positive
378,"b""Going live with today's Live Feed Update! #BBCAN7 #RHAP\nhttps://t.co/wqc33NRVYX""",positive
379,"b'@AOC False. The Dems are a cancer to society. If you embrace socialism, go check out Venezuela... Or get in line in Canada for a drs appt. I enjoy my freedoms and refuse to have an idiot like you attempt to take all that away. We want SMALLER GOVERNMENT not bigger.'",positive
380,b'Our criminal investigations team consists of over 500 employees with expertise in many different fields. Here\xe2\x80\x99s how you can help: https://t.co/fJx4mQy5rh #CdnTax https://t.co/Y7vMVqJfMv',positive
381,"b'Trio of Kia Canada recalls affects 18,000 vehicles #Canada #cars #KiaCanada #recalls https://t.co/3Yo6jNLeZe'",positive
382,"b""@AC360 had @GavinNewsom on @CNN to outright lie. There is NO 2000 mile wall being purposed, &amp; 2nd Newsom is replacing American's with cheap slave labor, it's happening here in Canada right now, wages have dropped drastically with non doc Immigrants undercutting good fare wages. https://t.co/48Rs124Osq""",positive
383,b'@JenBretty when\xe2\x80\x99s the best time to visit Canada ?',positive
384,"b""Are you aware of OSHA &amp; NEC requirements for Energy Storage Systems in the United States and Canada? Don't miss our webinar!\n\nhttps://t.co/jZZvHCcKl3 https://t.co/5GCNwGNEOD""",positive
385,"b""Honda is likely to recall around 1 million older vehicles in the U.S. and Canada because the Takata driver's airbag inflators that were installed during previous recalls could be dangerous. https://t.co/ldpGRKiNDg""",positive
